question_id,mu,sigma,se_before,se_mean,se_std,delta_se,question,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10
sfq_11783--191/191_1732943.txt#0_1,0.5,0.5,-2.22e-16,1.277802836,0.092046854,-0.022570479,,,,,,,,,,,
sfq_11783--191/191_1732943.txt#0_1,0.5,1.0,-2.22e-16,1.228955786,0.170398089,-0.071417529,,,,,,,,,,,
sfq_11783--191/191_1732943.txt#0_1,0.5,2.0,-2.22e-16,1.085580797,0.261262737,-0.214792517,,,,,,,,,,,
sfq_11783--191/191_1732943.txt#0_1,1.0,0.5,-2.22e-16,1.278991979,0.086130526,-0.021381335,,,,,,,,,,,
sfq_11783--191/191_1732943.txt#0_1,1.0,1.0,-2.22e-16,1.228275389,0.157148263,-0.072097925,,,,,,,,,,,
sfq_11783--191/191_1732943.txt#0_1,1.0,2.0,-2.22e-16,1.077645279,0.282143457,-0.222728035,,,,,,,,,,,
sfq_11783--191/191_1732943.txt#0_1,2.0,0.5,-2.22e-16,1.289978501,0.087600173,-0.010394813,,,,,,,,,,,
sfq_11783--191/191_1732943.txt#0_1,2.0,1.0,-2.22e-16,1.245617634,0.155981556,-0.054755681,,,,,,,,,,,
sfq_11783--191/191_1732943.txt#0_1,2.0,2.0,-2.22e-16,1.07416375,0.251956744,-0.226209564,,,,,,,,,,,
qg_2887--Lacrosse.txt#0_0,0.0,0.5,-2.22e-16,0.092157159,0.019306246,0.002304506,,,,,,,,,,,
qg_2887--Lacrosse.txt#0_0,0.0,1.0,-2.22e-16,0.100619731,0.041689963,0.010767078,,,,,,,,,,,
qg_2887--Lacrosse.txt#0_0,0.0,2.0,-2.22e-16,0.119338195,0.088221936,0.029485542,,,,,,,,,,,
qg_2887--Lacrosse.txt#0_0,0.5,0.5,-2.22e-16,0.093859276,0.022889997,0.004006623,,,,,,,,,,,
qg_2887--Lacrosse.txt#0_0,0.5,1.0,-2.22e-16,0.102228902,0.048010964,0.012376249,,,,,,,,,,,
qg_2887--Lacrosse.txt#0_0,0.5,2.0,-2.22e-16,0.130125457,0.109127169,0.040272804,,,,,,,,,,,
qg_2887--Lacrosse.txt#0_0,1.0,0.5,-2.22e-16,0.094005958,0.019436713,0.004153305,,,,,,,,,,,
qg_2887--Lacrosse.txt#0_0,1.0,1.0,-2.22e-16,0.10082438,0.04079799,0.010971727,,,,,,,,,,,
qg_2887--Lacrosse.txt#0_0,1.0,2.0,-2.22e-16,0.133369182,0.095040565,0.043516529,,,,,,,,,,,
qg_2887--Lacrosse.txt#0_0,2.0,0.5,-2.22e-16,0.089559755,0.023508107,-0.000292898,,,,,,,,,,,
qg_2887--Lacrosse.txt#0_0,2.0,1.0,-2.22e-16,0.097079796,0.049903945,0.007227143,,,,,,,,,,,
qg_2887--Lacrosse.txt#0_0,2.0,2.0,-2.22e-16,0.128683787,0.118546827,0.038831134,,,,,,,,,,,
sfq_16267--E._L._James.txt#0_2,0.0,0.5,-2.22e-16,0.58462324,0.029837025,-0.00724954,,,,,,,,,,,
sfq_16267--E._L._James.txt#0_2,0.0,1.0,-2.22e-16,0.570014872,0.056967346,-0.021857908,,,,,,,,,,,
sfq_16267--E._L._James.txt#0_2,0.0,2.0,-2.22e-16,0.542546435,0.115508863,-0.049326345,,,,,,,,,,,
sfq_16267--E._L._James.txt#0_2,0.5,0.5,-2.22e-16,0.589067734,0.035494273,-0.002805046,,,,,,,,,,,
sfq_16267--E._L._James.txt#0_2,0.5,1.0,-2.22e-16,0.580544598,0.070419725,-0.011328182,,,,,,,,,,,
sfq_16267--E._L._James.txt#0_2,0.5,2.0,-2.22e-16,0.545105091,0.136636952,-0.046767689,,,,,,,,,,,
sfq_16267--E._L._James.txt#0_2,1.0,0.5,-2.22e-16,0.59195861,0.032590305,8.58298e-05,,,,,,,,,,,
sfq_16267--E._L._James.txt#0_2,1.0,1.0,-2.22e-16,0.584656499,0.066697689,-0.007216281,,,,,,,,,,,
sfq_16267--E._L._James.txt#0_2,1.0,2.0,-2.22e-16,0.565494976,0.141301785,-0.026377804,,,,,,,,,,,
sfq_16267--E._L._James.txt#0_2,2.0,0.5,-2.22e-16,0.585618447,0.033509734,-0.006254333,,,,,,,,,,,
sfq_16267--E._L._James.txt#0_2,2.0,1.0,-2.22e-16,0.575863849,0.071243681,-0.016008931,,,,,,,,,,,
sfq_16267--E._L._James.txt#0_2,2.0,2.0,-2.22e-16,0.550376128,0.140013125,-0.041496652,,,,,,,,,,,
jp_2940--195/195_1424532.txt#0_1,0.0,0.5,-2.22e-16,0.489159425,0.080265617,-0.000746468,,,,,,,,,,,
jp_2940--195/195_1424532.txt#0_1,0.0,1.0,-2.22e-16,0.486322196,0.150425007,-0.003583697,,,,,,,,,,,
jp_2940--195/195_1424532.txt#0_1,0.0,2.0,-2.22e-16,0.427898307,0.236519127,-0.062007586,,,,,,,,,,,
jp_2940--195/195_1424532.txt#0_1,0.5,0.5,-2.22e-16,0.478007332,0.07803446,-0.011898561,,,,,,,,,,,
jp_2940--195/195_1424532.txt#0_1,0.5,1.0,-2.22e-16,0.463215482,0.148821829,-0.026690411,,,,,,,,,,,
jp_2940--195/195_1424532.txt#0_1,0.5,2.0,-2.22e-16,0.398289566,0.222173314,-0.091616327,,,,,,,,,,,
jp_2940--195/195_1424532.txt#0_1,1.0,0.5,-2.22e-16,0.487290013,0.075609524,-0.00261588,,,,,,,,,,,
jp_2940--195/195_1424532.txt#0_1,1.0,1.0,-2.22e-16,0.480968085,0.139462492,-0.008937808,,,,,,,,,,,
jp_2940--195/195_1424532.txt#0_1,1.0,2.0,-2.22e-16,0.435410864,0.235002633,-0.054495029,,,,,,,,,,,
jp_2940--195/195_1424532.txt#0_1,2.0,0.5,-2.22e-16,0.488326735,0.079854015,-0.001579158,,,,,,,,,,,
jp_2940--195/195_1424532.txt#0_1,2.0,1.0,-2.22e-16,0.479368753,0.14321833,-0.01053714,,,,,,,,,,,
jp_2940--195/195_1424532.txt#0_1,2.0,2.0,-2.22e-16,0.428244062,0.224963868,-0.061661831,,,,,,,,,,,
qb_5499--156/156_419027.txt#0_0,0.0,0.5,-2.22e-16,1.44076155,0.037415222,-0.013634579,,,,,,,,,,,
qb_5499--156/156_419027.txt#0_0,0.0,1.0,-2.22e-16,1.407240971,0.081312789,-0.047155158,,,,,,,,,,,
