question_id,mu,delta_se_variance,delta_se_mean_abs,delta_se_max_abs
dpql_3949--142/142_1672963.txt#0_1,2,0.008857849,0.085590636,0.191809587
dpql_4205--53/53_60605.txt#0_0,0,0.008414663,0.08300442,0.186132133
dpql_4205--53/53_60605.txt#0_0,0.5,0.0141196,0.123041616,0.256617909
dpql_4205--53/53_60605.txt#0_0,1,0.019803511,0.127995537,0.287808443
dpql_4205--53/53_60605.txt#0_0,2,0.007831678,0.071651294,0.171441734
dpql_455--142/142_545804.txt#0_0,0,0.012658159,0.103604057,0.230619703
dpql_455--142/142_545804.txt#0_0,0.5,0.012919198,0.103358724,0.232153504
dpql_455--142/142_545804.txt#0_0,1,0.011316622,0.101592085,0.221484569
dpql_455--142/142_545804.txt#0_0,2,0.011040068,0.099083379,0.217268286
dpql_4709--117/117_679477.txt#0_0,0,0.01073373,0.094770332,0.211808624
dpql_4709--117/117_679477.txt#0_0,0.5,0.010143677,0.095612401,0.208928772
dpql_4709--117/117_679477.txt#0_0,1,0.012063199,0.099632767,0.223851228
dpql_4709--117/117_679477.txt#0_0,2,0.012473668,0.105519185,0.231480327
dpql_4975--25/25_686725.txt#0_0,0,4.13E-05,0.007030704,0.014092304
dpql_4975--25/25_686725.txt#0_0,0.5,2.10E-05,0.004196356,0.008812703
dpql_4975--25/25_686725.txt#0_0,1,2.81E-05,0.006359114,0.012148236
dpql_4975--25/25_686725.txt#0_0,2,3.75E-05,0.009117962,0.015261763
dpql_5156--28/28_691416.txt#0_2,0,4.50E-07,0.001712994,0.002318964
dpql_5156--28/28_691416.txt#0_2,0.5,7.30E-06,0.003879596,0.006402894
dpql_5156--28/28_691416.txt#0_2,1,1.18E-05,0.00437846,0.008194451
dpql_5156--28/28_691416.txt#0_2,2,1.79E-05,0.004642656,0.009429989
dpql_5351--130/130_201583.txt#0_0,0,0.017973275,0.119622628,0.271040721
dpql_5351--130/130_201583.txt#0_0,0.5,0.020950765,0.130318995,0.293799942
dpql_5351--130/130_201583.txt#0_0,1,0.015370193,0.111590342,0.251621632
dpql_5351--130/130_201583.txt#0_0,2,0.020086254,0.12832515,0.28822274
dpql_5497--118/118_700447.txt#0_0,0,0.002383228,0.040529557,0.096098401
dpql_5497--118/118_700447.txt#0_0,0.5,0.003134891,0.046951863,0.110629041
dpql_5497--118/118_700447.txt#0_0,1,0.00306614,0.04448843,0.107680704
dpql_5497--118/118_700447.txt#0_0,2,0.002538239,0.041161724,0.098715468
dpql_5542--101/101_701718.txt#0_2,0,0.029369342,0.1579362,0.351510832
dpql_5542--101/101_701718.txt#0_2,0.5,0.036315846,0.180664928,0.394961026
dpql_5542--101/101_701718.txt#0_2,1,0.033641297,0.152529916,0.360865397
dpql_5542--101/101_701718.txt#0_2,2,0.032896926,0.162486867,0.36697127
dpql_5912--30/30_711491.txt#0_0,0,0.006582106,0.083968861,0.174706791
dpql_5912--30/30_711491.txt#0_0,0.5,0.008254615,0.079687852,0.182491137
dpql_5912--30/30_711491.txt#0_0,1,0.010785413,0.09240161,0.209665301
dpql_5912--30/30_711491.txt#0_0,2,0.007791112,0.070794021,0.171113079
dpql_971--13/13_577956.txt#0_0,0,0.001781581,0.037531276,0.085280952
dpql_971--13/13_577956.txt#0_0,0.5,0.002124906,0.041239455,0.093627386
dpql_971--13/13_577956.txt#0_0,1,0.001297941,0.027001184,0.068341815
dpql_971--13/13_577956.txt#0_0,2,0.000911133,0.021422715,0.0395647
jp_1058--65/65_66511.txt#0_2,0,3.22E-33,2.49E-16,2.90E-16
jp_1058--65/65_66511.txt#0_2,0.5,3.73E-34,2.44E-16,2.65E-16
jp_1058--65/65_66511.txt#0_2,1,8.10E-34,2.54E-16,2.84E-16
jp_1058--65/65_66511.txt#0_2,2,1.14E-33,2.50E-16,2.86E-16
jp_1299--110/110_771432.txt#0_1,0,1.71E-05,0.009258734,0.013207169
jp_1299--110/110_771432.txt#0_1,0.5,0.000147923,0.016106327,0.029277346
jp_1299--110/110_771432.txt#0_1,1,1.07E-05,0.002300779,0.004523827
jp_1299--110/110_771432.txt#0_1,2,7.20E-05,0.011591742,0.020444909
jp_1391--61/61_1385217.txt#0_1,0,0.000299484,0.021070033,0.040767329
jp_1391--61/61_1385217.txt#0_1,0.5,0.000133993,0.009021495,0.011879906
jp_1391--61/61_1385217.txt#0_1,1,0.000334717,0.018629327,0.039092315
jp_1391--61/61_1385217.txt#0_1,2,0.000405774,0.018270103,0.040914243
jp_1414--178/178_269111.txt#0_1,0,4.71E-34,1.53E-16,1.71E-16
jp_1414--178/178_269111.txt#0_1,0.5,5.43E-34,1.58E-16,1.84E-16
jp_1414--178/178_269111.txt#0_1,1,8.04E-34,1.54E-16,1.83E-16
jp_1414--178/178_269111.txt#0_1,2,1.34E-34,1.47E-16,1.57E-16
jp_1511--132/132_1375093.txt#0_0,0,7.29E-08,0.009379919,0.009548426
jp_1511--132/132_1375093.txt#0_0,0.5,5.14E-05,0.011253816,0.01767678
jp_1511--132/132_1375093.txt#0_0,1,0.000140195,0.021007954,0.029533677
jp_1511--132/132_1375093.txt#0_0,2,0.000441837,0.036645966,0.055847744
jp_1630--10/10_1391268.txt#0_1,0,0.004658629,0.061350196,0.138711274
jp_1630--10/10_1391268.txt#0_1,0.5,0.004462732,0.059780505,0.135536457
jp_1630--10/10_1391268.txt#0_1,1,0.003938346,0.0542681,0.12554744
jp_1630--10/10_1391268.txt#0_1,2,0.004131627,0.055859409,0.12903194
jp_1634--21/21_1391342.txt#0_0,0,0.004010691,0.042866911,0.115662909
jp_1634--21/21_1391342.txt#0_0,0.5,0.003588334,0.040215592,0.109085899
jp_1634--21/21_1391342.txt#0_0,1,0.003849692,0.037676571,0.105419696
jp_1634--21/21_1391342.txt#0_0,2,0.00326509,0.044905249,0.11010365
jp_1819--183/183_300683.txt#0_0,0,0.000361496,0.019770621,0.041168933
jp_1819--183/183_300683.txt#0_0,0.5,0.000125214,0.011880027,0.024597055
jp_1819--183/183_300683.txt#0_0,1,0.000137883,0.014013446,0.027300599
jp_1819--183/183_300683.txt#0_0,2,0.000306394,0.017802088,0.037557015
jp_2085--58/58_325202.txt#0_1,0,0.007994073,0.081655015,0.18268139
jp_2085--58/58_325202.txt#0_1,0.5,0.007460517,0.071570148,0.1695419
jp_2085--58/58_325202.txt#0_1,1,0.010894335,0.094765505,0.213027662
jp_2085--58/58_325202.txt#0_1,2,0.010899093,0.089799983,0.208074215
jp_2368--22/22_1179904.txt#0_1,0,6.90E-05,0.009146527,0.01864327
jp_2368--22/22_1179904.txt#0_1,0.5,0.000181855,0.010161917,0.025464721
jp_2368--22/22_1179904.txt#0_1,1,0.000205029,0.014120661,0.030198631
jp_2368--22/22_1179904.txt#0_1,2,0.000201471,0.013195114,0.029164802
jp_2490--7/7_1413067.txt#0_0,0,0.001153966,0.028307126,0.066641157
jp_2490--7/7_1413067.txt#0_0,0.5,0.002176284,0.046203844,0.098993223
jp_2490--7/7_1413067.txt#0_0,1,0.001447439,0.029402884,0.07284062
jp_2490--7/7_1413067.txt#0_0,2,0.002020398,0.041643747,0.092557438
jp_2683--186/186_1418025.txt#0_2,0,7.36E-06,0.004627932,0.007731236
jp_2683--186/186_1418025.txt#0_2,0.5,0.000185416,0.023714611,0.037667284
jp_2683--186/186_1418025.txt#0_2,1,0.000438293,0.026181966,0.048717891
jp_2683--186/186_1418025.txt#0_2,2,0.000227214,0.01690872,0.033483865
jp_2940--195/195_1424532.txt#0_1,0,0.001195721,0.022112584,0.062007586
jp_2940--195/195_1424532.txt#0_1,0.5,0.001798183,0.043401767,0.091616327
jp_2940--195/195_1424532.txt#0_1,1,0.000801146,0.022016239,0.054495029
jp_2940--195/195_1424532.txt#0_1,2,0.001050651,0.02459271,0.061661831
jp_3026--138/138_366909.txt#0_2,0,0.001802874,0.050153194,0.097119841
